deliverable,mx_check,business_name,email,phone,city,country_or_state,region,web_status,priority,legal_note,subject,draft_file
yes,MX ok (1),LANDHEN-Andrzej Lesiak,landhen@landhen.com.pl,+48 42 684 91 16,Lodz,Poland,Europe,OUTDATED,A,CONSENT_REQUIRED - do not bulk send,LANDHEN-Andrzej Lesiak: how your website appears on a mobile phone,drafts\001-poland-landhen-andrzej-lesiak.txt
NO - call instead,no MX - would bounce (LifetimeTimeout),Sicily,filippoupoli@sicily.gr,2410615090,Larissa,Greece,Europe,DEAD,A,CONSENT_REQUIRED - do not bulk send,Sicily: your website domain appears to have lapsed,
NO - call instead,no MX - would bounce (NXDOMAIN),Motodrom,kontakt@motodrom-drewnowska.pl,+48 501 218 801,Lodz,Poland,Europe,DEAD,A,CONSENT_REQUIRED - do not bulk send,Motodrom: your website domain appears to have lapsed,
NO - call instead,no MX - would bounce (NoNameservers),Dentist-Tim,contact@dentist-tim.ro,0040754300668,Timisoara,Romania,Europe,DEAD,A,CONSENT_REQUIRED - do not bulk send,Dentist-Tim: your website domain appears to have lapsed,
NO - call instead,no MX - would bounce (NXDOMAIN),Dempsey's,tom@dempseys-sheffield.com,+44 114 275 4616,Sheffield,UK,Europe,DEAD,A,CONSENT_REQUIRED - do not bulk send,Dempsey's: your website domain appears to have lapsed,
yes,MX ok (3),Frostop,frostop@cox.net,+1 225-344-1179,Baton Rouge,LA,USA,OUTDATED,A,opt-out basis (CAN-SPAM),Frostop: how your website appears on a mobile phone,drafts\006-la-frostop.txt
yes,MX ok (3),Ochelari de vedere,office@ochelar.ro,0722632167,Timisoara,Romania,Europe,OUTDATED,A,CONSENT_REQUIRED - do not bulk send,Ochelari de vedere: how your website appears on a mobile phone,drafts\007-romania-ochelari-de-vedere.txt
yes,MX ok (2),À la Table du Bon Roi Stanislas,tablestan@free.fr,+33 3 83353652,Nancy,France,Europe,OUTDATED,A,CONSENT_REQUIRED - do not bulk send,À la Table du Bon Roi Stanislas: how your website appears on a mobile phone,drafts\008-france-la-table-du-bon-roi-stanislas.txt
yes,MX ok (1),Lód Miód,www.lodmiod@lodmiod.pl,+48 534 154 224,Lodz,Poland,Europe,DEAD,A,CONSENT_REQUIRED - do not bulk send,Lód Miód: your website domain appears to have lapsed,drafts\009-poland-l-d-mi-d.txt
yes,MX ok (5),La Carreta,cb.lacarreta@gmail.com,+1-920-544-5662,Green Bay,WI,USA,DEAD,A,opt-out basis (CAN-SPAM),La Carreta: your website domain appears to have lapsed,drafts\010-wi-la-carreta.txt
yes,MX ok (5),Najadalnia,najadalnia@gmail.com,+48451115220,Poznan,Poland,Europe,DEAD,A,CONSENT_REQUIRED - do not bulk send,Najadalnia: your website link is returning an error,drafts\011-poland-najadalnia.txt
yes,MX ok (5),100 Restaurant and Bar,bigboibusiness24@gmail.com,+1-920-309-1735,Green Bay,WI,USA,DEAD,A,opt-out basis (CAN-SPAM),100 Restaurant and Bar: your website is not loading,drafts\012-wi-100-restaurant-and-bar.txt
yes,MX ok (1),MS Ballet School,info@marantinastergiouli.gr,+30 2410-535665,Larissa,Greece,Europe,DEAD,A,CONSENT_REQUIRED - do not bulk send,MS Ballet School: your website is not loading,drafts\013-greece-ms-ballet-school.txt
yes,MX ok (1),J. F. Wilson Cycle Manufacturer,wilsoncycles@btopenworld.com,+44 114 2723483,Sheffield,UK,Europe,DEAD,A,CONSENT_REQUIRED - do not bulk send,J. F. Wilson Cycle Manufacturer: your website link is returning an error,drafts\014-uk-j-f-wilson-cycle-manufacturer.txt
yes,MX ok (1),OISOI Gathering,info@oisoi.co.uk,+44 114 275 6566,Sheffield,UK,Europe,DEAD,A,CONSENT_REQUIRED - do not bulk send,OISOI Gathering: your website domain appears to have lapsed,drafts\015-uk-oisoi-gathering.txt
yes,MX ok (5),Nadeau,batonrouge@furniturewithasoul.com,+1-225-239-2008,Baton Rouge,LA,USA,DEAD,A,opt-out basis (CAN-SPAM),Nadeau: your website link is returning an error,drafts\016-la-nadeau.txt
yes,MX ok (5),Rise & Grind Gelato & Coffee Shop,riseandgrind109@gmail.com,+1 920-634-1269,Green Bay,WI,USA,DEAD,A,opt-out basis (CAN-SPAM),Rise & Grind Gelato & Coffee Shop: your website is not loading,drafts\017-wi-rise-grind-gelato-coffee-shop.txt
NO - call instead,no MX - would bounce (NoAnswer),Our Family Hardware,contact@ourhardwarestore.com,+1-225-343-8705,Baton Rouge,LA,USA,DEAD,A,opt-out basis (CAN-SPAM),Our Family Hardware: your website domain appears to have lapsed,
yes,MX ok (5),Samogitia,samogitiainfo@gmail.com,+31 6 16457840,Eindhoven,Netherlands,Europe,DEAD,A,CONSENT_REQUIRED - do not bulk send,Samogitia: your website is not loading,drafts\019-netherlands-samogitia.txt
NO - call instead,no MX - would bounce (NoAnswer),Inland Northwest Electric,support@inwespokane.com,+1-509-928-4347,Spokane,WA,USA,DEAD,A,opt-out basis (CAN-SPAM),Inland Northwest Electric: your website domain appears to have lapsed,
NO - call instead,no MX - would bounce (NoNameservers),Civil Axe Throwing,bookingbatonrouge@civilaxethrowing.com,+1 225-240-8220,Baton Rouge,LA,USA,DEAD,A,opt-out basis (CAN-SPAM),Civil Axe Throwing: your website domain appears to have lapsed,
yes,MX ok (3),Taqueria Michoacán,rvargas1983@yahoo.com,+1 920-430-1980,Green Bay,WI,USA,DEAD,A,opt-out basis (CAN-SPAM),Taqueria Michoacán: your website is not loading,drafts\022-wi-taqueria-michoac-n.txt
